algo,x,mean,std,count
ga,0.0,-0.6649365027743334,0.0,1
ga,40.0,-0.5757006715263596,0.0,1
ga,80.0,-0.2708551325649334,0.0,1
ga,120.0,0.044455265800086644,0.0,1
ga,160.0,0.3614195793616634,0.0,1
ga,200.0,0.37479575128874465,0.0,1
ga,240.0,0.38825626513749834,0.0,1
ga,280.0,0.4102059575487918,0.0,1
ga,320.0,0.44704660658071,0.0,1
ga,360.0,0.48939031096689,0.0,1
ga,400.0,0.521349363681108,0.0,1
ga,440.0,0.5514692930416655,0.0,1
ga,480.0,0.5710482895592734,0.0,1
ga,520.0,0.5828401434302152,0.0,1
ga,560.0,0.5904222588390472,0.0,1
ga,600.0,0.5974096766408831,0.0,1
ga,640.0,0.6007074105947589,0.0,1
ga,680.0,0.6038567979165681,0.0,1
ga,720.0,0.6066796099306422,0.0,1
ga,760.0,0.6093954611704074,0.0,1
ga,800.0,0.6115139019181288,0.0,1
ga,840.0,0.6141272426771763,0.0,1
ga,880.0,0.615992436703082,0.0,1
ga,920.0,0.6178411386271783,0.0,1
ga,960.0,0.6197687244488573,0.0,1
ga,1000.0,0.6224796114034157,0.0,1
ga,1040.0,0.6253685885438427,0.0,1
ga,1080.0,0.6275649697365518,0.0,1
ga,1120.0,0.63005381859848,0.0,1
ga,1160.0,0.6329216052261861,0.0,1
ga,1200.0,0.6347476014995075,0.0,1
ga,1240.0,0.6369813569486132,0.0,1
ga,1280.0,0.6389100878380126,0.0,1
ga,1320.0,0.6402673615180516,0.0,1
ga,1360.0,0.6418380791209773,0.0,1
ga,1400.0,0.6426908864699182,0.0,1
ga,1440.0,0.6428845330232079,0.0,1
ga,1480.0,0.6434427228410757,0.0,1
ga,1520.0,0.6439290703897828,0.0,1
ga,1560.0,0.644995713007336,0.0,1
ga,1600.0,0.6455127033906954,0.0,1
ga,1640.0,0.6464632733637022,0.0,1
ga,1680.0,0.6471135802028765,0.0,1
ga,1720.0,0.6481967265148559,0.0,1
ga,1760.0,0.6489376939569184,0.0,1
ga,1800.0,0.6492540168167744,0.0,1
ga,1840.0,0.6495301827586605,0.0,1
ga,1880.0,0.64998611992733,0.0,1
ga,1920.0,0.6502170990882302,0.0,1
ga,1960.0,0.6503665431016192,0.0,1
ga,2000.0,0.6504976848157402,0.0,1
ga,2040.0,0.6507816739787348,0.0,1
ga,2080.0,0.6508520738646194,0.0,1
ga,2120.0,0.6511371683325288,0.0,1
ga,2160.0,0.6517355771514864,0.0,1
ga,2200.0,0.6520252604436517,0.0,1
ga,2240.0,0.652191522821237,0.0,1
ga,2280.0,0.6523503293661435,0.0,1
ga,2320.0,0.6525998887738558,0.0,1
ga,2338.0,0.6527345040521537,0.0,1
ga,2340.0,0.6527345040521537,0.0,2
nsga2,0.0,-0.6649365027743334,0.0,1
nsga2,40.0,-0.47839874622444445,0.0,1
nsga2,80.0,-0.27386572251686664,0.0,1
nsga2,120.0,-0.0021082330737999967,0.0,1
nsga2,160.0,0.3401904969397909,0.0,1
nsga2,200.0,0.36299859960649095,0.0,1
nsga2,240.0,0.36988139470199094,0.0,1
nsga2,280.0,0.37606168358759207,0.0,1
nsga2,320.0,0.37897039238105606,0.0,1
nsga2,360.0,0.3826906221589482,0.0,1
nsga2,400.0,0.3912706611424977,0.0,1
nsga2,440.0,0.4121397234164126,0.0,1
nsga2,480.0,0.4540374498794808,0.0,1
nsga2,520.0,0.498667194343306,0.0,1
nsga2,560.0,0.5462725453758847,0.0,1
nsga2,600.0,0.5761697444122277,0.0,1
nsga2,640.0,0.5969847511141716,0.0,1
nsga2,680.0,0.610553612401053,0.0,1
nsga2,720.0,0.6156452642777928,0.0,1
nsga2,760.0,0.6201997941966468,0.0,1
nsga2,800.0,0.623942425595797,0.0,1
nsga2,840.0,0.6273951924756631,0.0,1
nsga2,880.0,0.630626043034347,0.0,1
nsga2,920.0,0.6328207158244402,0.0,1
nsga2,960.0,0.6342978161011161,0.0,1
nsga2,1000.0,0.6360273227586363,0.0,1
nsga2,1040.0,0.637218156127634,0.0,1
nsga2,1080.0,0.6389387956272843,0.0,1
nsga2,1120.0,0.6411891668709276,0.0,1
nsga2,1160.0,0.6419303166023282,0.0,1
nsga2,1200.0,0.6428305674860847,0.0,1
nsga2,1240.0,0.6438187447756115,0.0,1
nsga2,1280.0,0.6443856442776336,0.0,1
nsga2,1320.0,0.6450460163139268,0.0,1
nsga2,1360.0,0.645639269981278,0.0,1
nsga2,1400.0,0.6460567054710676,0.0,1
nsga2,1440.0,0.6468183050588278,0.0,1
nsga2,1480.0,0.6476310784727879,0.0,1
nsga2,1520.0,0.6484315959668743,0.0,1
nsga2,1560.0,0.6493051222825499,0.0,1
nsga2,1600.0,0.6502532187179955,0.0,1
nsga2,1640.0,0.6507115012329392,0.0,1
nsga2,1680.0,0.6512598607725336,0.0,1
nsga2,1720.0,0.6515728183670849,0.0,1
nsga2,1760.0,0.6521664087032358,0.0,1
nsga2,1800.0,0.6525806462025158,0.0,1
nsga2,1840.0,0.6529554771330887,0.0,1
nsga2,1880.0,0.6533025256338776,0.0,1
nsga2,1920.0,0.65359219400307,0.0,1
nsga2,1960.0,0.6537446078843588,0.0,1
nsga2,2000.0,0.6539778645584511,0.0,1
nsga2,2040.0,0.6540605232779542,0.0,1
